"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018
"통계분류(1)",통계분류(2),사례수,3시간 미만,3~5시간 미만,5~7시간 미만,7~9시간 미만,9시간 이상,평균
"전체",소계,10498,36.3,45.6,14.1,2.9,1.1,3.3
"성별",남성,5263,38.7,46.4,11.8,2.1,1,3.1
"성별",여성,5235,34,44.8,16.4,3.7,1.1,3.4
"연령",15~19세,696,44.2,46,8.7,1.1,-,2.8
"연령",20대,1458,32.9,51.8,13.6,1.5,0.2,3.2
"연령",30대,1560,43.8,46.5,8.9,0.7,0.1,2.8
"연령",40대,1998,43.4,45.2,10.1,1.2,0.1,2.9
"연령",50대,2007,39,48,10.6,1.7,0.7,3
"연령",60대,1422,30.4,44.7,18.9,3.7,2.3,3.6
"연령",70대이상,1357,15.9,33.2,32.6,12.9,5.3,4.8
"학력",초졸 이하,923,16,34.6,29.7,13.7,6.1,4.8
"학력",중졸,1452,31.5,42.6,19.5,4.9,1.5,3.6
"학력",고졸,4491,35.3,47.2,14.4,2.1,0.9,3.2
"학력",대졸이상,3632,43,46.7,8.9,1.1,0.3,2.9
"동거가구원수",1인,2264,29.6,40.3,19.5,6.6,4,3.8
"동거가구원수",2인,2171,25.2,42.7,23.4,6.5,2.2,3.9
"동거가구원수",3인이상,6063,39.8,47,11.2,1.5,0.4,3
"혼인상태별",미혼,2925,37.5,50,11.1,1.3,0.1,3
"혼인상태별",기혼,6121,37.5,45.5,13.5,2.6,0.9,3.2
"혼인상태별",사별/이혼/기타,1452,24.3,32.5,27.5,10,5.8,4.4
"가구주여부",가구주,5482,37.3,44.1,13.5,3.4,1.7,3.3
"가구주여부",가구주 아님,5016,35.6,46.8,14.6,2.4,0.6,3.2
"종사자지위",임금.봉급 근로자,4617,44,47.3,7.7,0.8,0.1,2.8
"종사자지위",고용원을 둔 사업자,248,45.4,44,8.3,2.1,0.1,2.9
"종사자지위",고용원이 없는 자영자,1637,37.3,49.1,11.4,1.7,0.5,3.1
"종사자지위",무급가족종사자,139,25.9,56,14,4.1,-,3.5
"종사자지위",해당없음(무직),3857,26.6,42.2,22.9,5.7,2.5,3.9
"가구소득",100만원 미만,921,8.5,31.1,36,15.8,8.6,5.3
"가구소득",100~200만원,1007,22.1,42.4,25.6,7.1,2.8,4.1
"가구소득",200~300만원,1706,33.2,46.7,14.8,4.2,1.1,3.4
"가구소득",300~400만원,2246,32.2,51.4,14.3,1.6,0.5,3.2
"가구소득",400~500만원,2214,41.2,44.5,12.4,1.4,0.5,3.1
"가구소득",500~600만원,1405,44.2,45.5,8.9,1.2,0.2,2.8
"가구소득",600만원 이상,999,45.9,44.8,7.8,1.1,0.5,2.8
"지역규모",대도시,4418,34.1,47.5,15,2.5,0.9,3.3
"지역규모",중소도시,3524,43.3,42,11.8,2.1,0.8,3
"지역규모",읍면지역,2556,27.5,48.6,16.5,5.4,2,3.6
"권역",수도권,3182,50.4,38.1,8.9,1.9,0.7,2.8
"권역",강원/제주권,786,46.3,35.4,15.2,1.5,1.6,3.1
"권역",충청/세종권,1772,34,52.1,11.1,1.8,1,3.2
"권역",호남권,1582,4.1,52.3,34.2,8.4,1.1,4.5
"권역",대경권,1304,23.2,53,15.6,5.6,2.6,3.8
"권역",동남권,1872,19.3,58.9,18.7,1.8,1.3,3.6
"17개 시도",서울,1220,42.6,42.2,12.7,1.8,0.7,3
"17개 시도",부산,734,12.7,62.4,22.2,1.1,1.6,3.8
"17개 시도",대구,638,20.8,56.7,17,3.6,1.9,3.7
"17개 시도",인천,637,46.8,42.2,8.5,2.4,0.1,2.9
"17개 시도",광주,475,4.8,53.2,33.6,7.7,0.6,4.4
"17개 시도",대전,493,47,43.4,7.4,1.6,0.7,2.9
"17개 시도",울산,425,31.3,40.6,17.6,6.7,3.8,3.8
"17개 시도",세종,189,24.2,59.3,15.3,1.2,-,3.4
"17개 시도",경기,1325,57.3,34,6,1.9,0.8,2.6
"17개 시도",강원,478,43.4,36.4,16.9,1.6,1.7,3.2
"17개 시도",충북,501,26.8,57.2,14.3,1.1,0.6,3.4
"17개 시도",충남,589,31.7,53.5,10.6,2.5,1.7,3.3
"17개 시도",전북,560,2.3,53.4,37.8,6.2,0.2,4.5
"17개 시도",전남,547,5.2,50.4,30.9,11.1,2.3,4.6
"17개 시도",경북,666,25.4,49.6,14.3,7.5,3.2,3.8
"17개 시도",경남,713,22.1,61.6,15.4,0.8,0.1,3.4
"17개 시도",제주,308,53.4,32.8,11.1,1.3,1.5,2.8
"장애여부",장애등록,124,13.3,30.1,26.7,24.9,5.1,5.1
"장애여부",미등록,160,25.8,54.5,13.6,3.6,2.5,3.6
"장애여부",해당사항없음,10214,36.7,45.6,14,2.6,1,3.2
